id,job_category,company_name,work_location,job_description,employment_type,salary,working_hours,holidays,age_limit,job_number,disclosure_scope,detail_url,pdf_url,reception_date,expiry_date,salary_num
1,社内ＳＥ,株式会社　志摩電子工業,三重県志摩市,"社内インフラ・ソフト・システム保守、社内システムの
問い合わせ対応などを担当していただきます。

",正社員,"245,000円〜350,000円 245,000円〜350,000円","（1）
08時00分〜17時00分 08時00分〜17時00分","土日他 週休二日制：
毎週 毎週 年間休日数：
123日 123日",制限あり 〜59歳以下,24020-00383961,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2402000383961&kJKbn=1&jGSHNo=pEuu2Z8qetrPy9WYeaC5rw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2402000383961&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-08 00:00:00,2026-03-31 00:00:00,245000
2,金属加工,ケイズクルー,三重県亀山市,"・マシニングセンタを使用した金属加工業務
図面を基にした各種加工（鉄・アルミ・ステンレス・樹脂）。
加工内容は試作部品や金型・金型系部品、治具、バイクパーツなど",正社員,"180,000円〜250,000円 180,000円〜250,000円","（1）
08時00分〜17時00分 08時00分〜17時00分","土日他 週休二日制：
毎週 毎週 年間休日数：
117日 117日",不問,24090-00287661,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2409000287661&kJKbn=1&jGSHNo=F9syj%2BGbITeajBlMDIu6%2Fg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2409000287661&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-08 00:00:00,2026-03-31 00:00:00,180000
3,システムエンジニア（正）／三重営業所,株式会社　リモワ,三重県四日市市,"・在宅業務を推奨しております。
・リモートワーク可能なシステム設計・開発業務のお仕事です。
　（企業・官公庁等）",正社員,"260,800円〜470,000円 260,800円〜470,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
125日 125日",制限あり 〜64歳以下,45010-00789961,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4501000789961&kJKbn=1&jGSHNo=MxCLv4r%2ByyUyJMlHf0RYkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=4501000789961&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-08 00:00:00,2026-03-31 00:00:00,260800
4,プログラマー（契）／三重営業所,株式会社　リモワ,三重県四日市市,"・在宅業務を推奨しております。
・リモートワーク可能なコンピューターソフトウェアの開発を行う
　お仕事です。（企業・官公庁等）",正社員以外,"213,920円〜370,000円 213,920円〜370,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
125日 125日",不問,45010-00790361,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4501000790361&kJKbn=1&jGSHNo=MxCLv4r%2ByyUyJMlHf0RYkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=4501000790361&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-08 00:00:00,2026-03-31 00:00:00,213920
5,ソフトウェア開発,京設工業　株式会社　四日市事業所,三重県四日市市,"ソフトウェア開発業務です。
次の何れかのプログラム言語を使用した開発設計作業です。
Ｃ，Ｃ＋＋，Ｃ＃Ｊａｖａ，Ｏｂｊｅｃｔｉｖｅ－Ｃ，ＮＥＴ等",正社員,"191,000円〜261,900円 191,000円〜261,900円","（1）
08時30分〜17時15分 08時30分〜17時15分","土日祝他 週休二日制：
その他 その他 年間休日数：
122日 122日",制限あり 〜59歳以下,24010-00320061,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401000320061&kJKbn=1&jGSHNo=TmBRB69EwIBGjuaHzvGokQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401000320061&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-06 00:00:00,2026-03-31 00:00:00,191000
6,システムエンジニア,株式会社ツリーベル　四日市事業所,三重県四日市市,"大手製造業向けの生産管理システムの設計・開発業務です。
オープン系言語でのアプリ開発や、ＢＩツールを使ったシステムの
可視化等、経験・スキルに合うプロジェクトに参画いただきます。",正社員,"320,000円〜450,000円 320,000円〜450,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝 週休二日制：
毎週 毎週 年間休日数：
124日 124日",制限あり 〜59歳以下,24010-00342761,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401000342761&kJKbn=1&jGSHNo=7gvzB2EXQemdPcv3A9eTNg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401000342761&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-06 00:00:00,2026-03-31 00:00:00,320000
7,（請）プログラマー（亀山市）,株式会社ツリーベル　四日市事業所,三重県亀山市,"生産管理システムを主としたシステム開発、システム運用保守業務
です。大手製造メーカーに常駐して顧客とコミュニケーションを取
りながら、システム設計・製造・テスト、運用保守を担当していた",正社員,"270,000円〜350,000円 270,000円〜350,000円","（1）
09時00分〜17時45分 09時00分〜17時45分","土日他 週休二日制：
毎週 毎週 年間休日数：
124日 124日",制限あり 〜59歳以下,24010-00350761,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401000350761&kJKbn=1&jGSHNo=7gvzB2EXQemdPcv3A9eTNg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401000350761&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-06 00:00:00,2026-03-31 00:00:00,270000
8,ＷＥＢシステム開発プログラマー,株式会社　バース,三重県四日市市,"以下の業務を行っていただきます。
・ＷＥＢシステムの開発（コーティング）
・ＷＥＢシステムの設計",正社員,"252,000円〜735,000円 252,000円〜735,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
120日 120日",制限あり 〜64歳以下,24010-00352961,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401000352961&kJKbn=1&jGSHNo=t0txV5VTt8fYC8mbzUqvoA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401000352961&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-06 00:00:00,2026-03-31 00:00:00,252000
9,ＷＥＢディレクター,株式会社　バース,三重県四日市市,"・サイトやＷＥＢプロモーションの企画構成、提案
・クリエイティブの品質管理
・仕様の検討、管理",正社員,"252,000円〜635,000円 252,000円〜635,000円","（1）
09時00分〜18時00分 09時00分〜18時00分","土日祝他 週休二日制：
毎週 毎週 年間休日数：
120日 120日",制限あり 〜64歳以下,24010-00358561,１．事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2401000358561&kJKbn=1&jGSHNo=t0txV5VTt8fYC8mbzUqvoA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2401000358561&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-06 00:00:00,2026-03-31 00:00:00,252000
10,業務用システム開発エンジニア,（事業所の意向により公開していません）,三重県津市,"企業向け業務システムの開発における、ヒアリング（要件確定）、
提案書作成、プレゼンテーション、システム設計、プログラミング
などの、受託開発プロジェクトの行程の一部を担って頂きます。",正社員,"211,500円〜333,000円 211,500円〜333,000円","（1）
08時30分〜17時30分 08時30分〜17時30分","土日祝 週休二日制：
毎週 毎週 年間休日数：
123日 123日",制限あり 〜59歳以下,24030-00241961,２．ハローワークの求職者に限定し、事業所名等を含む求人情報を公開する,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2403000241961&kJKbn=1&jGSHNo=ufpYFUv418ixHkz1AhBNQw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=kyujinhyoBtn&kJNo=2403000241961&kJKbn=1&iNFTeikyoRiyoDtiID=&kSNo=,2026-01-06 00:00:00,2026-03-31 00:00:00,211500
